symbol,trades,wr,avg_ret,sharpe,rank
INOXWIND,29,68.96551724137932,1.0923015217335867,4.7361710450950705,1
TITAN,25,68.0,0.1569054151543643,1.8645019819448112,2
TATAMOTORS,42,64.28571428571429,0.14566726255839815,1.836682710239106,3
BIOCON,80,61.25000000000001,0.26012057183773,2.7542319780282267,4
MARICO,23,60.86956521739131,0.21489483578289675,2.518983638899929,5
CHOLAFIN,46,60.86956521739131,0.3998953066811282,3.0856251659388954,6
FEDERALBNK,47,59.57446808510638,0.10325248461182965,1.2012760543221013,7
PFC,56,57.14285714285714,0.33173813040532735,2.261501391188034,8
SWIGGY,30,56.666666666666664,-0.05132212762066731,-0.3393937275949193,9
GODREJPROP,53,56.60377358490566,-0.159304496714392,-1.4410487336693856,10
TCS,32,56.25,0.24013527139785557,2.235481123771668,11
ENGINERSIN,105,56.19047619047619,0.5318002806623258,2.966124013280704,12
EXIDEIND,41,56.09756097560976,0.382175293586166,3.271645671705145,13
MCX,66,56.060606060606055,0.09400868502742063,0.7389351718227479,14
CHAMBLFERT,43,55.81395348837209,0.5922054732557782,3.1138121626457647,15
SHRIRAMFIN,65,55.38461538461539,0.5069166114847751,4.270621826544707,16
INDIGO,56,55.35714285714286,0.28840793860305053,2.8111426648309408,17
INTELLECT,58,55.172413793103445,0.41561309937480173,2.410641040006076,18
HDFCBANK,20,55.00000000000001,0.24743715385433793,5.046841920849232,19
BAJAJ-AUTO,33,54.54545454545454,-0.12886802785256518,-1.9249500694522572,20
TRENT,70,54.285714285714285,0.3151629414051075,2.114259453583025,21
SUZLON,59,54.23728813559322,0.2893124309714169,1.6424340925945453,22
TRITURBINE,93,53.76344086021505,0.2839836707087334,1.5929502635605954,23
NTPC,41,53.65853658536586,-0.15384534390583457,-1.6260222186792155,24
MANAPPURAM,56,53.57142857142857,0.3782388615279353,3.4093881332133087,25
RECLTD,58,53.44827586206896,0.27389705239865203,2.2183263607147303,26
VSTIND,45,53.333333333333336,0.2794811718359585,2.2671368151397067,27
MFSL,60,53.333333333333336,0.1142467286541395,0.9928569792706536,28
CUB,51,52.94117647058824,-0.041346822289481014,-0.42439223988713576,29
IDFCFIRSTB,36,52.77777777777778,0.26617758024344507,2.9622962880130745,30
